State,District,Market,StateDistrictMarket,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Colacasia,Other,FAQ,27/07/2023,6000,6400,6000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Cowpea(Veg),Other,FAQ,27/07/2023,4000,4500,4000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Cucumbar(Kheera),Other,FAQ,27/07/2023,2000,2500,2000
Kerala,Alappuzha,Harippad,KeralaAlappuzhaHarippad,Drumstick,Other,FAQ,27/07/2023,5000,5500,5000
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Bitter gourd,Bitter Gourd,FAQ,27/07/2023,8100,8300,8200
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Bottle gourd,Bottle Gourd,FAQ,27/07/2023,5400,5600,5500
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Brinjal,Other,FAQ,27/07/2023,8600,8800,8700
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Cabbage,Cabbage,FAQ,27/07/2023,7000,7200,7100
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Ginger(Green),Green Ginger,FAQ,27/07/2023,6400,6600,6500
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Green Chilli,Green Chilly,FAQ,27/07/2023,20400,20600,20500
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Leafy Vegetable,Leafy Vegetables,FAQ,27/07/2023,9000,9300,9200
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Onion,1st Sort,FAQ,27/07/2023,11100,11300,11200
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Potato,Other,FAQ,27/07/2023,11200,11400,11300
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Pumpkin,Pumpkin,FAQ,27/07/2023,4400,4600,4500
Nagaland,Kohima,Jalukie,NagalandKohimaJalukie,Tomato,Tomato,FAQ,27/07/2023,13000,13200,13100
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Banana - Green,Other,FAQ,27/07/2023,2000,2500,2200
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,4000,4500,4200
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Bitter gourd,Bitter Gourd,FAQ,27/07/2023,4400,4600,4500
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Brinjal,Brinjal,FAQ,27/07/2023,4000,5000,4500
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Cucumbar(Kheera),Cucumbar,FAQ,27/07/2023,3500,4000,3800
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Drumstick,Drumstick,FAQ,27/07/2023,4500,5000,4800
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Onion,Other,FAQ,27/07/2023,2000,2500,2200
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Pointed gourd (Parval),Other,FAQ,27/07/2023,4000,4500,4200
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Potato,Potato,FAQ,27/07/2023,1800,2000,1900
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Pumpkin,Pumpkin,FAQ,27/07/2023,1200,1400,1300
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Ridgeguard(Tori),Other,FAQ,27/07/2023,3000,3500,3200
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Snakeguard,Other,FAQ,27/07/2023,2500,3000,2800
Odisha,Dhenkanal,Hindol,OdishaDhenkanalHindol,Tomato,Tomato,FAQ,27/07/2023,11000,12000,11500
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,1500,1500,1500
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Bitter gourd,Bitter Gourd,FAQ,27/07/2023,1800,1800,1800
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Bottle gourd,Bottle Gourd,FAQ,27/07/2023,2500,2500,2500
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Brinjal,Arkasheela Mattigulla,FAQ,27/07/2023,3200,3200,3200
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Carrot,Carrot,FAQ,27/07/2023,2300,2300,2300
Punjab,Amritsar,Mehta,PunjabAmritsarMehta,Ridgeguard(Tori),Other,FAQ,27/07/2023,3000,3000,3000
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,3500,3500,3500
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Brinjal,Brinjal,FAQ,27/07/2023,2800,2800,2800
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Cauliflower,Local,FAQ,27/07/2023,1800,1800,1800
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Green Chilli,Green Chilly,FAQ,27/07/2023,2900,2900,2900
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Onion,Red,FAQ,27/07/2023,2000,2000,2000
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Potato,Other,FAQ,27/07/2023,1800,1800,1800
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Raddish,Other,FAQ,27/07/2023,1500,1500,1500
Punjab,Amritsar,Rayya,PunjabAmritsarRayya,Tomato,Hybrid,FAQ,27/07/2023,1500,1500,1500
Rajasthan,Chittorgarh,Kapasan,RajasthanChittorgarhKapasan,Wheat,Lokwan,FAQ,27/07/2023,2150,2350,2250
Rajasthan,Rajasamand,Rajasamand,RajasthanRajasamandRajasamand,Onion,Onion,FAQ,27/07/2023,1000,1200,1100
Rajasthan,Rajasamand,Rajasamand,RajasthanRajasamandRajasamand,Potato,Potato,FAQ,27/07/2023,1000,1400,1200
Rajasthan,Rajasamand,Rajasamand,RajasthanRajasamandRajasamand,Tomato,Tomato,FAQ,27/07/2023,10000,12000,11000
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,3000,4000,3500
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Brinjal,Round/Long,FAQ,27/07/2023,2500,3500,3000
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Green Chilli,Green Chilly,FAQ,27/07/2023,15000,20000,17500
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Onion,Onion,FAQ,27/07/2023,2000,4000,3000
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Potato,Potato,FAQ,27/07/2023,1800,2500,2150
Tripura,North Tripura,Dasda,TripuraNorth TripuraDasda,Rice,Masuri,FAQ,27/07/2023,3200,3400,3300
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Bhindi(Ladies Finger),Bhindi,FAQ,27/07/2023,3000,4000,3500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Bitter gourd,Bitter Gourd,FAQ,27/07/2023,4000,5000,4500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Brinjal,Round/Long,FAQ,27/07/2023,2000,3000,2500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Cowpea(Veg),Cowpea (Veg),FAQ,27/07/2023,2000,3000,2500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Green Chilli,Green Chilly,FAQ,27/07/2023,10000,15000,12500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Masur Dal,Masur Dal,FAQ,27/07/2023,8000,12000,10000
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Onion,Nasik,FAQ,27/07/2023,3000,4000,3500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Potato,Potato,FAQ,27/07/2023,2000,3000,2500
Tripura,North Tripura,Kanchanpur,TripuraNorth TripuraKanchanpur,Rice,Masuri,FAQ,27/07/2023,3400,5000,4200
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Apple,Kasmir/Shimla - II,Medium,27/07/2023,4700,4900,4800
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Banana - Green,Banana - Green,FAQ,27/07/2023,1000,1100,1050
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Bottle gourd,Bottle Gourd,FAQ,27/07/2023,950,1050,1000
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Cucumbar(Kheera),Cucumbar,FAQ,27/07/2023,1900,2000,1950
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Green Chilli,Green Chilly,FAQ,27/07/2023,2300,2400,2350
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Onion,Onion,FAQ,27/07/2023,1100,1200,1150
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Potato,Chips,FAQ,27/07/2023,1300,1400,1350
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Pumpkin,Pumpkin,FAQ,27/07/2023,600,700,650
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Raddish,Raddish,FAQ,27/07/2023,600,700,650
Uttar Pradesh,Baghpat,Baraut,Uttar PradeshBaghpatBaraut,Sponge gourd,Sponge gourd,FAQ,27/07/2023,1100,1200,1150
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Bhindi(Ladies Finger),Other,FAQ,27/07/2023,2400,2600,2500
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Bitter gourd,Bitter Gourd,FAQ,27/07/2023,2800,3000,2900
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Bottle gourd,Bottle Gourd,FAQ,27/07/2023,1000,1200,1100
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Brinjal,Other,FAQ,27/07/2023,700,900,800
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Cauliflower,Cauliflower,FAQ,27/07/2023,1000,1200,1100
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Colacasia,Other,FAQ,27/07/2023,1400,1600,1500
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Cucumbar(Kheera),Cucumbar,FAQ,27/07/2023,1300,1500,1400
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Garlic,Desi,FAQ,27/07/2023,3400,3600,3500
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Ginger(Green),Green Ginger,FAQ,27/07/2023,3000,3200,3100
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Green Chilli,Green Chilly,FAQ,27/07/2023,1600,1800,1700
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Onion,Other,FAQ,27/07/2023,2000,2200,2100
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Potato,Other,FAQ,27/07/2023,700,800,750
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Pumpkin,Other,FAQ,27/07/2023,750,850,800
Uttar Pradesh,Bulandshahar,Gulavati,Uttar PradeshBulandshaharGulavati,Sponge gourd,Other,FAQ,27/07/2023,1100,1300,1200
Uttar Pradesh,Hathras,Shadabad,Uttar PradeshHathrasShadabad,Onion,Red,FAQ,27/07/2023,900,1000,950
Uttar Pradesh,Hathras,Shadabad,Uttar PradeshHathrasShadabad,Potato,Desi,FAQ,27/07/2023,750,850,800
Uttar Pradesh,Meerut,Sardhana,Uttar PradeshMeerutSardhana,Banana - Green,Banana - Green,FAQ,27/07/2023,900,1000,950
Uttar Pradesh,Meerut,Sardhana,Uttar PradeshMeerutSardhana,Green Chilli,Green Chilly,FAQ,27/07/2023,1600,1700,1650
Uttar Pradesh,Meerut,Sardhana,Uttar PradeshMeerutSardhana,Onion,Red,FAQ,27/07/2023,1000,1250,1200
Uttar Pradesh,Meerut,Sardhana,Uttar PradeshMeerutSardhana,Potato,Desi,FAQ,27/07/2023,1100,1200,1100
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Apple,Other,Medium,27/07/2023,1200,2500,2500
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Banana,Other,Medium,27/07/2023,1000,1500,1500
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Bhindi(Ladies Finger),Other,FAQ,27/07/2023,1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Bottle gourd,Other,FAQ,27/07/2023,1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Brinjal,Other,FAQ,27/07/2023,1800,3000,3000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Cucumbar(Kheera),Other,FAQ,27/07/2023,900,2000,2000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Green Chilli,Other,FAQ,27/07/2023,3500,7000,7000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Jack Fruit,Other,Medium,27/07/2023,600,1800,1800
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Mango,Other,Medium,27/07/2023,400,1100,1100
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Onion,Other,FAQ,27/07/2023,700,1600,1600
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Potato,Other,FAQ,27/07/2023,500,1300,1300
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Pumpkin,Other,FAQ,27/07/2023,1200,2000,2000
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Sponge gourd,Other,FAQ,27/07/2023,1200,2500,2500
Uttrakhand,Dehradoon,Vikasnagar,UttrakhandDehradoonVikasnagar,Tomato,Other,FAQ,27/07/2023,2000,6500,4000
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Bhindi(Ladies Finger),Other,FAQ,27/07/2023,800,1500,1300
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Bottle gourd,Other,FAQ,27/07/2023,500,700,600
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Brinjal,Other,FAQ,27/07/2023,500,800,700
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Cucumbar(Kheera),Other,FAQ,27/07/2023,800,1200,1000
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Green Chilli,Other,FAQ,27/07/2023,2000,3000,2500
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Mango,Other,Medium,27/07/2023,800,1500,1300
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Mousambi(Sweet Lime),Other,Medium,27/07/2023,1500,2500,2000
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Onion,Other,FAQ,27/07/2023,1200,1800,1400
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Papaya,Other,Medium,27/07/2023,1500,2500,2000
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Pomegranate,Other,Medium,27/07/2023,3000,5000,4000
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Potato,Other,FAQ,27/07/2023,800,1400,1200
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Pumpkin,Other,FAQ,27/07/2023,400,600,500
Uttrakhand,Haridwar,Roorkee,UttrakhandHaridwarRoorkee,Tomato,Other,FAQ,27/07/2023,2500,4000,3500
Andhra Pradesh,Chittor,Palamaner,Andhra PradeshChittorPalamaner,Green Chilli,Green Chilly,FAQ,28/07/2023,8000,10000,9000
Andhra Pradesh,Cuddapah,Cuddapah,Andhra PradeshCuddapahCuddapah,Groundnut,Local,FAQ,28/07/2023,6269,7416,7036
Andhra Pradesh,Cuddapah,Cuddapah,Andhra PradeshCuddapahCuddapah,Turmeric,Bulb,FAQ,28/07/2023,4888,9745,8650
Andhra Pradesh,Cuddapah,Cuddapah,Andhra PradeshCuddapahCuddapah,Turmeric,Finger,FAQ,28/07/2023,5748,10025,9665
Andhra Pradesh,East Godavari,Karapa,Andhra PradeshEast GodavariKarapa,Paddy(Dhan)(Common),1001,FAQ,28/07/2023,2040,2060,2050
Andhra Pradesh,East Godavari,Rajahmundry,Andhra PradeshEast GodavariRajahmundry,Paddy(Dhan)(Common),Paddy,FAQ,28/07/2023,2040,2040,2040
Andhra Pradesh,East Godavari,Rajahmundry,Andhra PradeshEast GodavariRajahmundry,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,28/07/2023,2060,2060,2060
Andhra Pradesh,East Godavari,Sampara,Andhra PradeshEast GodavariSampara,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,28/07/2023,2000,2080,2040
Andhra Pradesh,Guntur,Tenali,Andhra PradeshGunturTenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,28/07/2023,8100,8300,8200
Andhra Pradesh,Guntur,Tenali,Andhra PradeshGunturTenali,Lemon,Lemon,FAQ,28/07/2023,1500,3500,2500
Andhra Pradesh,Kurnool,Alur,Andhra PradeshKurnoolAlur,Jowar(Sorghum),Jowar ( White),FAQ,28/07/2023,3030,3090,3060
Andhra Pradesh,Kurnool,Atmakur,Andhra PradeshKurnoolAtmakur,Maize,Hybrid/Local,FAQ,28/07/2023,1962,1962,1962
Andhra Pradesh,Kurnool,Atmakur,Andhra PradeshKurnoolAtmakur,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,28/07/2023,2040,2040,2040
Andhra Pradesh,Kurnool,Nandikotkur,Andhra PradeshKurnoolNandikotkur,Bengal Gram(Gram)(Whole),Gulabi,FAQ,28/07/2023,5335,5335,5335
Andhra Pradesh,Kurnool,Nandikotkur,Andhra PradeshKurnoolNandikotkur,Maize,Hybrid,FAQ,28/07/2023,1962,1962,1962
Andhra Pradesh,Kurnool,Nandikotkur,Andhra PradeshKurnoolNandikotkur,Paddy(Dhan)(Common),Sona,FAQ,28/07/2023,2040,2040,2040
Andhra Pradesh,Visakhapatnam,Anakapally,Andhra PradeshVisakhapatnamAnakapally,Gur(Jaggery),NO 2,FAQ,28/07/2023,3850,3850,3850
Andhra Pradesh,Visakhapatnam,Anakapally,Andhra PradeshVisakhapatnamAnakapally,Gur(Jaggery),NO 3,FAQ,28/07/2023,3750,3750,3750
Bihar,Kishanganj,Bahadurganj,BiharKishanganjBahadurganj,Apple,American,Medium,28/07/2023,9000,9500,9400
Bihar,Kishanganj,Bahadurganj,BiharKishanganjBahadurganj,Banana,Amruthapani,Medium,28/07/2023,2400,2600,2500
